date,market_price_usd,tx_volume_usd,tx_count,hash_rate,avg_tx_value_usd
2024-10-22,67363.26,9459984977.844603,700174.0,638125714.2515116,140593.13105384
2024-10-23,67368.2,6752263402.2640505,665187.0,718143298.2753785,101654.67214966998
2024-10-24,66655.68,8861423494.225447,681834.0,699119634.7449049,131301.16612396
2024-10-25,68162.43,8170259000.293865,524014.0,727655130.0406153,120888.83320406002
2024-10-26,66639.48,2589025948.7554045,597744.0,694363718.8622864,38645.691377150004
2024-10-27,67018.78,1623405982.1370733,700814.0,765702457.1015625,24081.494901989998
2024-10-28,67938.81,10966185038.036318,702824.0,798993868.2798914,159339.86870489002
2024-10-29,69913.46,14125800889.231539,614981.0,746678793.571089,196561.35638438005
2024-10-30,72706.28,13795094906.86094,682099.0,803749784.1625097,190942.85409407018
2024-10-31,72329.87,13376076760.901299,562237.0,751434709.4537071,188111.32695616002
2024-11-01,70219.02,12445252914.96622,547888.0,727655130.0406153,178141.29276521003
2024-11-02,69490.73,2325736060.7382245,544612.0,670584139.4491944,33429.77773244001
2024-11-03,69301.81,2585993578.693979,455402.0,627780896.505629,37705.95299594001
2024-11-04,68744.21,10004272909.175388,456826.0,720519107.2542773,146565.45920291002
2024-11-05,67809.49,11232629934.277601,465286.0,702351988.6923242,161912.10173908004
2024-11-06,69382.83,16624459226.55678,501641.0,773092476.7620546,223393.72935641994
2024-11-07,75642.59,14663670061.258778,553047.0,788251152.776997,194340.50401439003
2024-11-08,75926.31,16280514071.904945,497146.0,717510664.7072663,213674.12136318992
2024-11-09,76559.38,4379578541.9617,577368.0,702351988.6923242,57310.86594470996
2024-11-10,76728.8,8805260115.054148,558278.0,747828016.7371509,110690.88195181
2024-11-11,80477.81,15659527002.602785,462458.0,687193312.6773819,185906.28231293007
2024-11-12,88719.74,26270558367.128586,503677.0,737722232.7271894,299110.99797799013
2024-11-13,87972.98,21257021379.190033,570979.0,697299096.6873435,236875.80991124996
2024-11-14,90537.78,24187597707.2619,503566.0,641717284.6325549,270090.24879934
